huc12_code,huc12_name,huc10_name,n_observations,n_no3_readings,avg_no3_ppm,pct_no3_impaired,n_phos_readings,avg_orthophosphate_ppb,pct_phos_impaired,bank_erosion_flags,algal_bloom_flags,livestock_in_water_flags,pipe_drain_outflow_flags,trash_flags,fish_kill_flags,fish_barrier_flags,cdl_year,row_crop,pasture,forest,urban,other
070400040503,Cold Creek,704000405,15,13,5.5,20.0,11,73.0,47.0,0,0,0,0,0,0,0,2023,68.7,21.7,4.8,4.3,0.4
070600040506,Grannis Creek-Volga River,706000405,39,38,5.4,31.0,32,38.0,23.0,5,0,0,1,3,0,2,2023,41.4,26.5,24.6,6.4,1.0
070300051201,City of Stillwater-Lake Saint Croix,703000512,9,2,5.0,11.0,4,75.0,33.0,0,0,0,0,0,0,0,2023,7.2,20.7,20.9,32.9,18.3
070400080207,Bear Creek,704000802,7,7,5.0,0.0,7,0.0,0.0,0,0,0,0,0,0,0,2023,56.1,22.3,17.1,4.1,0.4
070600040607,Bear Creek,706000406,8,8,4.8,25.0,6,33.0,25.0,4,0,2,0,0,0,2,2023,25.6,35.4,33.5,5.2,0.4
070400080802,Wisel Creek,704000808,15,15,4.7,0.0,15,27.0,20.0,0,0,0,0,0,0,0,2023,51.2,27.9,15.8,4.9,0.2
070600010401,Upper Winnebago Creek,706000104,13,13,4.6,0.0,13,8.0,8.0,0,0,1,0,0,0,0,2023,34.7,35.5,24.8,4.8,0.2
070900030101,East Pecatonica River,709000301,9,9,4.6,11.0,3,33.0,11.0,5,0,1,0,2,0,0,2023,42.6,43.4,8.9,4.9,0.2
070400010205,South Branch Vermillion River,704000102,77,58,4.5,9.0,63,151.0,47.0,1,0,0,0,2,0,1,2023,59.9,23.8,8.0,6.0,2.4
070400030502,Garvin Brook,704000305,11,6,4.5,9.0,8,325.0,73.0,3,0,0,0,1,0,0,2023,29.3,24.7,39.2,5.8,1.1
070300051104,Parker Creek-Kinnickinnic River,703000511,71,61,4.5,7.0,62,44.0,34.0,10,3,0,10,25,0,0,2023,39.6,29.8,19.8,10.1,0.7
070300051105,Lower Kinnickinnic Pond-Kinnickinnic River,703000511,224,191,4.4,4.0,202,28.0,23.0,96,0,0,15,49,1,0,2023,34.8,28.7,25.1,10.3,1.2
070400080302,Trout Run,704000803,6,5,4.4,0.0,5,100.0,67.0,1,0,0,0,1,0,0,2023,49.0,28.2,17.8,4.6,0.3
070400080503,Pine Creek,704000805,9,9,4.3,0.0,9,33.0,33.0,2,0,0,0,0,0,0,2023,53.1,23.7,19.1,4.0,0.2
070600040605,Cox Creek,706000406,10,8,4.2,10.0,9,111.0,80.0,8,0,1,0,2,0,2,2023,25.4,36.8,33.4,3.9,0.5
070400030307,Lower South Fork Whitewater River,704000303,19,12,4.2,5.0,17,88.0,53.0,3,0,0,0,0,0,0,2023,46.2,24.5,23.8,5.0,0.4
070400030308,Beaver Creek,704000303,5,4,4.2,0.0,4,125.0,80.0,4,0,0,1,1,0,0,2023,35.0,21.4,38.4,4.1,1.1
070400080805,Beaver Creek,704000808,24,23,4.2,8.0,24,25.0,17.0,0,0,0,0,0,0,0,2023,32.6,30.6,32.0,4.6,0.2
070400080205,Spring Valley Creek,704000802,16,15,4.2,0.0,14,36.0,25.0,1,0,0,1,0,0,1,2023,64.9,15.3,11.5,8.0,0.3
070400010701,Isabelle Creek,704000107,36,30,4.1,0.0,32,122.0,33.0,2,0,0,0,0,0,0,2023,45.4,17.6,28.5,7.6,1.0
070500051102,Porcupine Creek-Plum Creek,705000511,5,3,4.0,0.0,3,0.0,0.0,0,0,0,0,0,0,1,2023,41.2,11.7,40.0,5.0,2.0
070400080208,Middle Branch Root River,704000802,24,24,3.9,0.0,22,136.0,8.0,2,1,1,0,0,0,0,2023,40.9,27.5,26.6,4.3,0.7
070600040505,Frog Hollow,706000405,8,8,3.9,12.0,4,50.0,12.0,0,0,0,0,0,0,0,2023,44.9,21.6,27.9,3.7,1.9
070600020502,Waterloo Creek,706000205,17,17,3.8,0.0,17,6.0,6.0,2,0,0,0,0,0,0,2023,28.8,40.0,25.7,5.2,0.3
070400080803,Middle South Fork Root River,704000808,32,25,3.8,0.0,26,73.0,41.0,0,0,0,0,0,0,0,2023,34.4,27.1,34.2,4.1,0.2
070600010901,Headwaters Yellow River,706000109,5,4,3.8,20.0,1,100.0,20.0,1,0,0,1,0,0,0,2023,66.1,21.4,7.3,4.9,0.3
070400040510,West Indian Creek,704000405,30,30,3.8,0.0,29,76.0,67.0,2,0,0,0,0,0,0,2023,51.8,23.9,18.7,5.3,0.4
070600040604,Nagle Creek-Volga River,706000406,21,17,3.8,5.0,21,43.0,29.0,17,0,5,1,2,0,8,2023,26.9,36.5,30.9,4.6,1.1
070400010303,Spring Creek-Trimbelle River,704000103,7,5,3.8,0.0,3,0.0,0.0,0,0,0,0,0,0,1,2023,32.4,24.8,33.6,6.8,2.3
070400080502,Middle Rush Creek,704000805,14,9,3.6,0.0,7,43.0,14.0,5,1,1,0,0,0,0,2023,48.1,21.9,25.0,4.9,0.2
